creation_date,update_date,city,zip_code,country,geometry_type,geometry_coords,description,headline,title,keyfacts,price_value,brand,id,numberOfRooms,livingSpace,numberOfFloors,fact_numberOfRooms,fact_livingSpace,fact_numberOfFloors,numberOfBedrooms,fact_numberOfBedrooms,plotSpace,fact_plotSpace,availability,fact_availability,lon,lat,price_m2
2025-10-31 14:55:00+00:00,2025-12-08 10:35:09.376000+00:00,Nice,06300,FRA,MultiPolygon,"[[[[7.281, 43.69969], [7.28231, 43.69725], [7.28084, 43.69884], [7.28172, 43.69698], [7.2808, 43.69675], [7.27961, 43.69688], [7.27985, 43.69813], [7.27856, 43.69654], [7.27709, 43.69656], [7.2774, 43.69779], [7.2772, 43.69821], [7.27688, 43.69819], [7.27697, 43.69867], [7.27861, 43.70024], [7.27967, 43.70071], [7.28041, 43.70048], [7.281, 43.69969]]]]","A deux pas de la mer, rue Raoul Bosio, studio meublé et rénové au 4ème étage, composé d'un séjour avec coin cuisine équipée et une salle de douche avec wc. Lumineux et ensoleillé, vue dégagée. A proximité du tramway.
Surface habitable: 15.75m2
Loyer : 690€ par mois charges comprises dont 30€ de provisions pour charges.
Dépôt de garantie: 1320€
Honoraires charges locataire: 204.75€TTC
dont 47.25€TTC pour état des lieux.
Contact agence :",STUDIO MEUBLE-VIEUX NICE,Appartement à louer,"['1 pièce', '15,8 m²', 'Étage 4/5']",690.0,seloger,25EFHGUBY3KC,1.0,15.8,45.0,1 pièce,"15,8 m²",Étage 4/5,,,,,,,7.279363853723699,43.698451165539865,44.0
2025-12-04 14:32:00+00:00,2025-12-04 14:35:08.025000+00:00,Nice,06300,FRA,MultiPolygon,"[[[[7.2865, 43.70286], [7.28576, 43.70309], [7.28621, 43.70355], [7.28633, 43.70364], [7.28661, 43.70375], [7.28715, 43.70397], [7.28658, 43.70415], [7.28603, 43.70432], [7.28616, 43.70453], [7.28637, 43.70489], [7.28652, 43.70517], [7.2867, 43.70547], [7.28702, 43.70604], [7.28753, 43.70589], [7.28813, 43.70569], [7.28861, 43.70556], [7.2894, 43.70532], [7.28949, 43.7055], [7.2896, 43.70542], [7.29008, 43.70528], [7.29075, 43.70507], [7.29088, 43.70507], [7.29037, 43.70437], [7.29013, 43.70405], [7.28995, 43.70379], [7.28973, 43.7035], [7.28955, 43.70325], [7.28933, 43.70298], [7.28912, 43.70267], [7.28902, 43.70252], [7.28897, 43.70244], [7.28875, 43.70218], [7.28781, 43.70246], [7.2865, 43.70286]]]]","Charmant 2 pièces meublé à louer à compter du 5 janvier 2026, proche du centre commercial TNL, se composant d'une entrée donnant sur une cuisine équipée ouverte sur le salon, une chambre, une salle d'eau avec lave-linge, une belle terrasse avec table et chaises. Cet appartement se trouve dans une belle copropriété sécurisée proche de toutes les commodités et des transports en commun (tramway, train..) Bail reconductible de 12 mois.
pour prise de rendez-vous.",2 pièces meublé à louer,Appartement à louer,"['2 pièces', '1 chambre', '26,8 m²', '3ème étage']",920.0,seloger,25SIWR32V96J,2.0,26.8,3.0,2 pièces,"26,8 m²",3ème étage,1.0,1 chambre,,,,,7.288182258945208,43.70415088123305,34.0
2025-10-29 13:24:00+00:00,2025-12-09 09:46:09.030000+00:00,Nice,06000,FRA,Point,"[7.267233999999999, 43.7062319999999]","En plein centre ville de Nice. Nous vous proposons ce joli 2 pièces. Cet appartement est composé d'une cuisine équipée ouverte sur le séjour, d'une chambre avec une mezzanine et d'une salle d'eau avec un WC. Il est proche de toutes commodités, commerces et transports. Très belle hauteur sous plafond, appartement très bien distribué. 
DISPONIBLE LE 24 Novembre.",Appartement,Appartement à louer,"['2 pièces', '1 chambre', '30 m²', 'Étage 2/5']",642.0,seloger,25283MCF9QKY,2.0,30.0,25.0,2 pièces,30 m²,Étage 2/5,1.0,1 chambre,,,,,7.267233999999999,43.7062319999999,21.0
2025-12-04 12:14:00+00:00,2025-12-04 12:16:17.456000+00:00,Nice,06300,FRA,MultiPolygon,"[[[[7.304, 43.69627], [7.30901, 43.69246], [7.30426, 43.68501], [7.29381, 43.68651], [7.29364, 43.69073], [7.28535, 43.69363], [7.28418, 43.69819], [7.28333, 43.69443], [7.28835, 43.69043], [7.27784, 43.69422], [7.26605, 43.69445], [7.24366, 43.68927], [7.23069, 43.67871], [7.23077, 43.66597], [7.22325, 43.65719], [7.2237, 43.66084], [7.21287, 43.64785], [7.20101, 43.64553], [7.19945, 43.64733], [7.20361, 43.65122], [7.20084, 43.65357], [7.20132, 43.66073], [7.18744, 43.69296], [7.18215, 43.73769], [7.18543, 43.7468], [7.19784, 43.75979], [7.21496, 43.75592], [7.21583, 43.75198], [7.21996, 43.75082], [7.22115, 43.74156], [7.23273, 43.74582], [7.23884, 43.75105], [7.24844, 43.75147], [7.24918, 43.74668], [7.2524, 43.74626], [7.24991, 43.74502], [7.2522, 43.74442], [7.25138, 43.73985], [7.26178, 43.74564], [7.26354, 43.74352], [7.27351, 43.74513], [7.27965, 43.74295], [7.28126, 43.73589], [7.28585, 43.73395], [7.29826, 43.73924], [7.29487, 43.74856], [7.29667, 43.75842], [7.29947, 43.75474], [7.30773, 43.75373], [7.31209, 43.74552], [7.30813, 43.73773], [7.29234, 43.73341], [7.30319, 43.72128], [7.30699, 43.72658], [7.31546, 43.72245], [7.32348, 43.72335], [7.31468, 43.7206], [7.31364, 43.71517], [7.30082, 43.70622], [7.30023, 43.70177], [7.304, 43.69627]]]]","NICE - VIEUX NICE

Ce logement est bien desservie : plusieurs arrêts de bus se trouvent à 2-5 minutes à pied (Tête Carrée, Wilson, Garibaldi…), offrant de nombreuses lignes. Le tram est également accessible, avec l'arrêt Jean-Médecin à environ 10 minutes de marche.

Studio meublé de 14 m² comprenant une pièce à vivre avec cuisine ouverte entièrement équipée, ainsi qu'une salle d'eau avec WC.

- Loyer : 740€ hors charges + 60€ de charges soit un loyer charges comprises de 800€ 

Dépôt de garantie : 1500€

Forfait 210€ TTC
Référence de l'annonce : 0602693  

Et si votre futur logement ne se trouvait pas encore en ligne ?
N'hésitez pas à nous joindre ou à venir nous rencontrer en agence au 7 rue de Lépante à Nice (à deux pas de Nice Étoile et du Monoprix)",Studio meublé de 14m² au Vieux Nice,Appartement à louer,"['1 pièce', '14 m²']",800.0,seloger,25HZ8IGRAAE7,1.0,14.0,,1 pièce,14 m²,,,,,,,,7.23833690842232,43.71240395819776,57.0
2025-12-08 14:06:00+00:00,2025-12-10 01:20:09.925000+00:00,Nice,06000,FRA,Point,"[7.26195, 43.71017]","Duplex de 2 Pièces atypique d'un immeuble récent composé d'un petit salon avec cuisine ouverte (machine à laver, plaque de cuisson, frigo) donnant sur un balcon avec vue dégagée. 
A l'étage, une chambre avec haut plafond, un placard et une salle de douche. 

Un emplacement de parking complète ce bien.",Duplex Atypique - Haut Cessole,Appartement à louer,"['2 pièces', '1 chambre', '37,9 m²', '3ème étage']",963.0,seloger,25DA75U7AZBJ,2.0,37.9,3.0,2 pièces,"37,9 m²",3ème étage,1.0,1 chambre,,,,,7.26195,43.71017,25.0
2025-10-18 22:35:00+00:00,2025-10-28 09:06:11.068000+00:00,Nice,06100,FRA,MultiPolygon,"[[[[7.27277, 43.72748], [7.27186, 43.72841], [7.2713, 43.72823], [7.27065, 43.72896], [7.27105, 43.72915], [7.27045, 43.72988], [7.27089, 43.73064], [7.27038, 43.73065], [7.27148, 43.73159], [7.27159, 43.73241], [7.27057, 43.73358], [7.27027, 43.73465], [7.27072, 43.73537], [7.27202, 43.73577], [7.27251, 43.7355], [7.27274, 43.7359], [7.27409, 43.7348], [7.27717, 43.73452], [7.27766, 43.73493], [7.27845, 43.73459], [7.27944, 43.73639], [7.27781, 43.73917], [7.27749, 43.7395], [7.27691, 43.73951], [7.27747, 43.73978], [7.2774, 43.74007], [7.27843, 43.73953], [7.2795, 43.73946], [7.28179, 43.73658], [7.28126, 43.73589], [7.28369, 43.73476], [7.28571, 43.73468], [7.28585, 43.73395], [7.28989, 43.7346], [7.29147, 43.73523], [7.2917, 43.73403], [7.28532, 43.73225], [7.28493, 43.73241], [7.28499, 43.73357], [7.28377, 43.73336], [7.28217, 43.73378], [7.28085, 43.73304], [7.2808, 43.73245], [7.28026, 43.73245], [7.28023, 43.73177], [7.28137, 43.73125], [7.28108, 43.73], [7.28049, 43.73002], [7.27932, 43.72907], [7.27867, 43.72972], [7.27733, 43.72874], [7.27675, 43.72889], [7.27622, 43.72796], [7.27561, 43.72849], [7.27439, 43.72748], [7.27277, 43.72748]]]]","DERNIER ETAGE DANS PARC PRIVE
VASTE 3 PIECES MEUBLE - TRES LUMINEUX 
IMMEUBLE STANDING - CALME ASOLU
VUE DEGAGEE
STATIONNEMENT AISE DANS LA RESIDENCE
BOXE SOUS SOL 
CAVE
disponible au 14 novembre",CIMIEZ,Appartement à louer,"['3 pièces', '2 chambres', '90,1 m²']",2190.0,seloger,25ZH3AS1V49M,3.0,90.1,,3 pièces,"90,1 m²",,2.0,2 chambres,,,,,7.277740984459478,43.732764305992404,24.0
2025-11-10 13:23:00+00:00,2025-11-17 01:16:10.183000+00:00,Nice,06300,FRA,Point,"[7.294642, 43.702279]","Corniche André de Joly, dans une résidence fermée et sécurisée avec ascenseur, agréable appartement 3 pièces traversant, comprenant un salon sur balcon côté Est, deux chambres, une cuisine indépendante équipée prolongée par une véranda avec jolie vue dégagée à l’Ouest, une salle d’eau et wc indépendant. Climatisation, double vitrage. Une belle cave saine en sous-sol ainsi qu’un stationnement privatif.",Appartement 3 pièces,Appartement à louer,"['3 pièces', '2 chambres', '55 m²', 'Étage 3/4']",1480.0,seloger,25UP3R9HAPKS,3.0,55.0,34.0,3 pièces,55 m²,Étage 3/4,2.0,2 chambres,,,,,7.294642,43.702279,27.0
2025-11-06 15:32:00+00:00,2025-12-08 14:30:14.435000+00:00,Nice,06000,FRA,Point,"[7.26124, 43.712]","Coup de coeur pour ce magnifique 2 pièces rénové d'environ 48 m2, il est situé dans un quartier calme de la Libération, proche de toutes commodités.

Au 6ème étage avec ascenseur, l'appartement est entièrement meublé et équipé, il se compose d'un agréable séjour avec coin cuisine équipée, d'une chambre, d'une salle d'eau, toilettes indépendant ainsi qu'un beau balcon.

Loyer 1800€ + Charges 150€, comprenant chauffage, eau froide et eau chaude, soit 1 950€ toutes charges comprises.
Dépôt de garantie : 3 600 €. 

Disponible le : 1er janvier 2026.
A voir rapidement !

Honoraires à la charge du locataire selon barème en cas de bail code civil.

Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :",NICE LIERATION - MAGNIFIQUE 2P 48 M2 AVEC BALCON,Appartement à louer,"['2 pièces', '1 chambre', '48 m²', '6ème étage']",1800.0,seloger,25PCPV6GBVZJ,2.0,48.0,6.0,2 pièces,48 m²,6ème étage,1.0,1 chambre,,,,,7.26124,43.712,38.0
2025-09-29 03:54:00+00:00,2025-11-27 15:46:26.517000+00:00,Nice,06000,FRA,MultiPolygon,"[[[[7.304, 43.69627], [7.30901, 43.69246], [7.30426, 43.68501], [7.29381, 43.68651], [7.29364, 43.69073], [7.28535, 43.69363], [7.28418, 43.69819], [7.28333, 43.69443], [7.28835, 43.69043], [7.27784, 43.69422], [7.26605, 43.69445], [7.24366, 43.68927], [7.23069, 43.67871], [7.23077, 43.66597], [7.22325, 43.65719], [7.2237, 43.66084], [7.21287, 43.64785], [7.20101, 43.64553], [7.19945, 43.64733], [7.20361, 43.65122], [7.20084, 43.65357], [7.20132, 43.66073], [7.18744, 43.69296], [7.18215, 43.73769], [7.18543, 43.7468], [7.19784, 43.75979], [7.21496, 43.75592], [7.21583, 43.75198], [7.21996, 43.75082], [7.22115, 43.74156], [7.23273, 43.74582], [7.23884, 43.75105], [7.24844, 43.75147], [7.24918, 43.74668], [7.2524, 43.74626], [7.24991, 43.74502], [7.2522, 43.74442], [7.25138, 43.73985], [7.26178, 43.74564], [7.26354, 43.74352], [7.27351, 43.74513], [7.27965, 43.74295], [7.28126, 43.73589], [7.28585, 43.73395], [7.29826, 43.73924], [7.29487, 43.74856], [7.29667, 43.75842], [7.29947, 43.75474], [7.30773, 43.75373], [7.31209, 43.74552], [7.30813, 43.73773], [7.29234, 43.73341], [7.30319, 43.72128], [7.30699, 43.72658], [7.31546, 43.72245], [7.32348, 43.72335], [7.31468, 43.7206], [7.31364, 43.71517], [7.30082, 43.70622], [7.30023, 43.70177], [7.304, 43.69627]]]]","NICE GROSSO- F2 esprit loft avec mezzanine & verrière - 34 m² PROCHE FACULTES et accès immédiat TRANSPORTS, ce F2 style Loft de 34 m² séduit par son esprit 'ATELIER BOIS' sa mezzannine offre un bon espace NUIT - La pièce de vie diffuse la lumière, parquets et belle hauteur sous plafond - BALCON ensoleillé. Séjour lumineux avec coin salon / repas et verrière façon atelier - CUISINE EQUIPEE - Salle de bains avec WC - Nombreux rangements intégrés. (gedeon_41896_31940625)",NICE GROSSO- F2 esprit loft avec mezzanine & verrière - 34 m²,Appartement à louer,"['2 pièces', '1 chambre', '34 m²', '1er étage']",850.0,seloger,25ANP9CIQLPK,2.0,34.0,1.0,2 pièces,34 m²,1er étage,1.0,1 chambre,,,,,7.23833690842232,43.71240395819776,25.0
2025-12-01 19:11:00+00:00,2025-12-04 18:31:09.848000+00:00,Nice,06200,FRA,MultiPolygon,"[[[[7.22435, 43.68443], [7.21637, 43.6883], [7.21542, 43.68753], [7.21376, 43.68831], [7.21381, 43.68861], [7.2123, 43.68874], [7.21229, 43.68922], [7.21293, 43.68997], [7.21423, 43.69025], [7.2141, 43.69049], [7.2153, 43.69142], [7.21583, 43.6923], [7.21739, 43.69232], [7.21715, 43.69207], [7.21782, 43.69156], [7.22076, 43.69066], [7.22329, 43.69034], [7.22386, 43.69033], [7.22394, 43.68988], [7.2253, 43.6896], [7.22628, 43.68865], [7.22463, 43.68941], [7.22064, 43.68974], [7.22205, 43.68946], [7.22488, 43.68827], [7.22446, 43.6873], [7.22499, 43.68572], [7.22455, 43.6857], [7.22528, 43.68531], [7.22435, 43.68443]]], [[[7.22732, 43.69001], [7.22676, 43.68963], [7.22609, 43.69017], [7.22463, 43.69033], [7.22653, 43.69031], [7.22661, 43.6906], [7.22732, 43.69001]]], [[[7.22463, 43.69033], [7.22386, 43.69033], [7.22385, 43.69041], [7.22463, 43.69033]]]]","Nice - CHEMIN DE TERRON - Situé au dernier étage d’une résidence récente dans un quartier résidentiel prisé de Nice Ouest, ce duplex composé de 2/3 pièces de 61,37 m² offre un cadre de vie idéal. Baigné de lumière, il dispose d’une vaste terrasse de 30 m² avec une vue panoramique exceptionnelle sur la mer et la ville. Il se compose d’un spacieux séjour avec espace cuisine d’environ 40 m² ouvrant sur la terrasse, de deux chambres, d’un bureau, d’une salle d’eau et d’un toilettes séparé. 

L’appartement est équipé de la climatisation réversible, de fenêtres à double vitrage et de volets roulants électriques pour un confort optimal. 

Un garage complète ce bien. Calme, ensoleillé et parfaitement situé, cet appartement est une opportunité rare à ne pas manquer.

Loyer charges comprises 1650,00 € hors consommations personnelles + 50€ provisions sur charges (eau froide entretien commun) 
Soit 1 700,00€ charges comprises 

Taxe d’enlèvement des ordures ménagères en fin d’année 215 €

Ref 130 NB",NICE - Fabron - Appartement trois pièces avec garage,Appartement à louer,"['3 pièces', '2 chambres', '70 m²', '1er étage']",1650.0,seloger,25SDNGU2XHBH,3.0,70.0,1.0,3 pièces,70 m²,1er étage,2.0,2 chambres,,,,,7.219555113812859,43.688743018104375,24.0
2025-10-31 00:41:00+00:00,2025-10-31 00:46:32.408000+00:00,Nice,06100,FRA,Point,"[7.257161, 43.717423]","Local professionnel au rez-de-chaussée au pied du tramway dans un quartier vivant - Belle localisation pour ce local professionnel à usage exclusif de bureau ou professions libérales.
D'une superficie de 56m2, situé au début du Boulevard Gorbella, facilité d'accès par le tramway il est situé au rez de chaussée d'un immeuble et compose d'un hall d'entrée, 3 bureaux et d'un wc indépendant. Climatisation réversible dans chaque pièce, eau chaude individuelle électrique
Disponible de suite. 
 Loyer de 790,00 euros par mois charges comprises dont 100,00 euros par mois de provision pour charges (soumis à la régularisation annuelle). 
 Les honoraires charge locataire sont de 690,00 euros ( soit 12,32 euros/m² ) dont 168,00 euros pour état des lieux ( soit 3,00 euros/m² ). 
DPE ANCIENNE VERSION. Montant estimé des dépenses annuelles d'énergie pour un usage standard : 1 025 euros. Prix moyens des énergies indexés en 2020.",Appartement,Appartement à louer,"['3 pièces', '56 m²', 'RDC']",790.0,seloger,254JVEWC2JUB,3.0,56.0,,3 pièces,56 m²,RDC,,,,,,,7.257161,43.717423,14.0
2025-11-10 16:33:00+00:00,2025-12-09 01:21:26.204000+00:00,Nice,06300,FRA,MultiPolygon,"[[[[7.28875, 43.70218], [7.28897, 43.70244], [7.28902, 43.70252], [7.28912, 43.70267], [7.28933, 43.70298], [7.28955, 43.70325], [7.28973, 43.7035], [7.28995, 43.70379], [7.29013, 43.70405], [7.29037, 43.70437], [7.29088, 43.70507], [7.29089, 43.70507], [7.29098, 43.70518], [7.29137, 43.70502], [7.292, 43.70478], [7.29225, 43.7047], [7.2926, 43.70461], [7.29298, 43.70453], [7.29329, 43.70446], [7.29426, 43.70424], [7.29431, 43.70422], [7.2944, 43.70417], [7.29441, 43.7041], [7.29441, 43.70407], [7.29439, 43.70401], [7.29431, 43.70393], [7.2942, 43.70381], [7.29402, 43.70358], [7.294, 43.70354], [7.29385, 43.7035], [7.29367, 43.70327], [7.29358, 43.70316], [7.29359, 43.70316], [7.29363, 43.70315], [7.29366, 43.70313], [7.29364, 43.70307], [7.29344, 43.70298], [7.29328, 43.70287], [7.2932, 43.70281], [7.29319, 43.70279], [7.29318, 43.70276], [7.29332, 43.70233], [7.29332, 43.70225], [7.29304, 43.70201], [7.29282, 43.70184], [7.29235, 43.70145], [7.29223, 43.70139], [7.29221, 43.70158], [7.29209, 43.70166], [7.29185, 43.70147], [7.29147, 43.70143], [7.29155, 43.70119], [7.29117, 43.70119], [7.29093, 43.70117], [7.29077, 43.70115], [7.29011, 43.70101], [7.28996, 43.70096], [7.28979, 43.70103], [7.28904, 43.70072], [7.28961, 43.70102], [7.28986, 43.70114], [7.29027, 43.70134], [7.29039, 43.7014], [7.2898, 43.70169], [7.28938, 43.70188], [7.28886, 43.70213], [7.28875, 43.70218]]]]","Dans résidence neuve livrée en novembre 2025.
Magnifique 2P neuf, jamais habité
Entièrement meublé et décoré avec goût. Climatisation réversible.
Au calme, avec une grande terrasse d'environ 15m² exposée sur une cour.

L'appartement est livré avec une cuisine entièrement équipée avec des équipements électroménagers de dernière génération.
La salle de bains comprend une douche à l'italienne, et des meubles sur mesure.
Le salon est meublé avec un canapé transformable pour 2 personnes,
et un lit queen size dans la chambre.

Situé entre Le Port et Riquier
à 500m de la ligne de tramway 2 Port Lympia,
et à 600m de la ligne de tramway 1 République.

Possibilité de louer un parking en supplément.

Disponible tout de suite, jusqu'au 31/05/2026.
Durée d'un mois minimum.","2P neuf, meublé, terrasse, Port",Appartement à louer,"['2 pièces', '42,2 m²', '2ème étage']",1250.0,seloger,25ZZNR84CYUY,2.0,42.2,2.0,2 pièces,"42,2 m²",2ème étage,,,,,,,7.291506790105646,43.70306107740181,30.0
2025-09-12 09:25:00+00:00,2025-11-25 11:36:18.462000+00:00,Nice,06000,FRA,Point,"[7.2634035, 43.7086791]","NICE / LIBERATION - En avant dernier étage d'un immeuble niçois avec ascenseur, cet appartement de type 3 pièces MEUBLE comprend un hall d'entrée, un séjour avec cuisine ouverte, une salle de douche avec W.C. et deux grandes chambres.
L'appartement est en cours d'ameublement. A proximité immédiate du tramway, ne passez pas à côté de cette opportunité RARE.
Pour plus d'informations, n'hésitez pas à contacter Charles DRIARD.",NICE / LIBERATION - Appartement 3 pièces MEUBLE en avant dernier,Appartement à louer,"['3 pièces', '2 chambres', '55 m²', 'Étage 4/4']",1500.0,seloger,25C2AU41JEXK,3.0,55.0,44.0,3 pièces,55 m²,Étage 4/4,2.0,2 chambres,,,,,7.2634035,43.7086791,27.0
2025-12-02 09:52:00+00:00,2025-12-03 09:41:07.651000+00:00,Nice,06300,FRA,MultiPolygon,"[[[[7.28616, 43.70729], [7.28543, 43.7075], [7.28442, 43.70779], [7.28425, 43.70784], [7.28422, 43.70783], [7.28416, 43.70782], [7.28409, 43.70782], [7.28407, 43.70782], [7.28342, 43.70793], [7.28342, 43.70797], [7.28341, 43.708], [7.28339, 43.70802], [7.28358, 43.70852], [7.28361, 43.7086], [7.28362, 43.70863], [7.28379, 43.70913], [7.28382, 43.70921], [7.28392, 43.70954], [7.28399, 43.70974], [7.28468, 43.70961], [7.28484, 43.70958], [7.28527, 43.70948], [7.2856, 43.70939], [7.28584, 43.7093], [7.28593, 43.70927], [7.2863, 43.70912], [7.28674, 43.70888], [7.28694, 43.70875], [7.28717, 43.70859], [7.28737, 43.70843], [7.28751, 43.70831], [7.2877, 43.70815], [7.28819, 43.70774], [7.28902, 43.70704], [7.28925, 43.70685], [7.28974, 43.70644], [7.29043, 43.70586], [7.29102, 43.70548], [7.29115, 43.7054], [7.29113, 43.70537], [7.29108, 43.70531], [7.29098, 43.70518], [7.29089, 43.70507], [7.29088, 43.70507], [7.29075, 43.70507], [7.29008, 43.70528], [7.2896, 43.70542], [7.28949, 43.7055], [7.2894, 43.70532], [7.28861, 43.70556], [7.28813, 43.70569], [7.28753, 43.70589], [7.28702, 43.70604], [7.28718, 43.70631], [7.28748, 43.70684], [7.28679, 43.70709], [7.28675, 43.7071], [7.28616, 43.70729]]]]","Situé dans le secteur très recherché de Riquier, au sein d'une résidence arborée, sécurisée et parfaitement entretenue avec gardienne, ce charmant 2 pièces offre un cadre de vie paisible tout en restant à proximité immédiate de toutes les commodités.



L'appartement se compose d'un séjour lumineux, d'une cuisine séparée, d'une chambre confortable, d'une salle de bain, d'un couloir avec rangements, ainsi que d'une très belle terrasse idéale pour profiter des beaux jours en toute tranquillité.



À deux pas des écoles, supermarchés, commerces, transports et services du quotidien, ce bien allie parfaitement calme, confort et praticité, dans un environnement résidentiel recherché.

À visiter rapidement.

Loyer : 1190 hors charges
Provision pour charges : 110 euros.
Dépôt de garantie : 1190 euros.
Honoraires : 699.40 euros TTC (dont 161.40 € TTC pour l'état des lieux)


Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques :",NICE RIQUIER- 2 PIÈCES MEUBLÉ A LOUER,Appartement à louer,"['2 pièces', '1 chambre', '53,8 m²', '3ème étage']",1300.0,seloger,25IMWHKBXB3W,2.0,53.8,3.0,2 pièces,"53,8 m²",3ème étage,1.0,1 chambre,,,,,7.286911694418251,43.70750385234715,24.0
2025-11-26 08:06:00+00:00,2025-11-27 08:25:18.588000+00:00,Nice,06100,FRA,Point,"[7.24997, 43.72046]","NICE NORD, 10 rue CHANOINE RANCE BOURREY, 2 pièces de 45m² au 3ème étage, entièrement rénové, traversant, double vitrage, cuisine séparée et aménagée, nombreux rangements, calme, cave, très lumineux, grand balcon dans le séjour et balcon dans la cuisine. libre de suite",2 pieces haut de cessole,Appartement à louer,"['2 pièces', '45 m²', '3ème étage']",1200.0,seloger,25D2H9DZXW7D,2.0,45.0,3.0,2 pièces,45 m²,3ème étage,,,,,,,7.24997,43.72046,27.0
2025-12-05 15:57:00+00:00,2025-12-05 16:01:05.749000+00:00,Nice,06000,FRA,MultiPolygon,"[[[[7.2509, 43.71126], [7.25164, 43.71142], [7.25199, 43.71197], [7.25197, 43.71037], [7.25282, 43.7101], [7.2522, 43.71058], [7.25255, 43.7109], [7.25289, 43.71082], [7.25401, 43.71012], [7.25439, 43.70949], [7.25269, 43.70902], [7.25159, 43.70906], [7.24968, 43.71013], [7.24997, 43.70886], [7.24937, 43.70991], [7.24964, 43.70908], [7.2492, 43.70863], [7.24952, 43.70912], [7.24848, 43.71025], [7.24819, 43.7101], [7.24801, 43.71079], [7.24882, 43.71034], [7.24924, 43.71073], [7.24739, 43.71257], [7.24638, 43.713], [7.24702, 43.71374], [7.2476, 43.71353], [7.24608, 43.71517], [7.24795, 43.71397], [7.24997, 43.71448], [7.25005, 43.71402], [7.25055, 43.71396], [7.25039, 43.71372], [7.25095, 43.71367], [7.25119, 43.71226], [7.25078, 43.71172], [7.24969, 43.71178], [7.25, 43.71135], [7.2509, 43.71126]]]]","A LOUER - Proche libération, magnifique 2 pièces meublé complètement rénové de 42m2 au 1er étage d'un immeuble Art déco.

L'appartement se compose d'une entrée, spacieux séjour avec cuisine équipée, une chambre avec salle d'eau, wc séparé.

Climatisation, machine à laver, lave vaisselle.

Bail : 1 an meublé renouvelable.
Loyer : 1200€  + 150 € de charges 
Caution : 2400 €
Disponibilité : 15/12/2025
Les honoraires de location sont d'un montant de 546 € (soit 13€/m2 dont 126 € d'état des lieux)",Proche Libération / 2 pièces rénové à louer,Appartement à louer,"['2 pièces', '1 chambre', '42 m²', '1er étage']",1250.0,seloger,25TZNGBLA2SE,2.0,42.0,1.0,2 pièces,42 m²,1er étage,1.0,1 chambre,,,,,7.250078613204091,43.711637525201006,30.0
2025-11-17 18:45:00+00:00,2025-12-09 18:45:11.553000+00:00,Nice,06300,FRA,MultiPolygon,"[[[[7.28424, 43.70061], [7.28433, 43.70116], [7.28438, 43.7014], [7.28424, 43.70144], [7.28357, 43.70167], [7.28285, 43.70188], [7.28317, 43.70245], [7.2833, 43.70264], [7.28343, 43.7029], [7.28354, 43.70307], [7.28367, 43.7033], [7.28387, 43.70367], [7.28457, 43.70345], [7.28538, 43.7032], [7.28576, 43.70309], [7.2865, 43.70286], [7.28633, 43.70255], [7.28616, 43.70227], [7.28704, 43.70201], [7.28746, 43.70188], [7.28724, 43.70151], [7.28685, 43.70088], [7.28677, 43.70073], [7.28671, 43.70058], [7.28669, 43.70044], [7.28548, 43.70052], [7.28479, 43.70057], [7.28424, 43.70061]]]]","Quartier du port, emplacement idéal pour ce beau F3 situé au 4ème et dernier étage sans ascenseur d'un immeuble niçois. Traversant et très lumineux, il se compose de 2 belles chambres avec de nombreux rangements, et balcon, une salle d'eau avec WC, d'un spacieux salon-cuisine donnant sur une cour intérieure et un balcon filant. Climatisation, cuisine équipée font de ce bien un magnifique espace à vivre. A voir absolument. Libre à compter du 15 décembre 2025.
Dossier soumis à la Garantie de Loyers Impayés. Contact agence ORPI",F3 meublé à louer quartier du Port,Appartement à louer,"['3 pièces', '2 chambres', '53,4 m²', 'Étage 4/4']",1450.0,seloger,25BALEHF4NDH,3.0,53.4,44.0,3 pièces,"53,4 m²",Étage 4/4,2.0,2 chambres,,,,,7.2851449698501325,43.70194933038501,27.0
2025-11-25 09:12:00+00:00,2025-12-08 22:10:12.315000+00:00,Nice,06200,FRA,Point,"[7.210543156, 43.683712006]","Découvrez cette maison entièrement rénovée, alliant le cachet de l’ancien et le confort du moderne, située dans un secteur recherché de Nice, à proximité immédiate des commerces et accès routiers.
Disposant d'une exposition optimale sud ouest et d'une vue mer panoramique jusqu'au cap d'Antibes, cette villa 4 pièces avec piscine d'une surface de 136 m², offre un grand séjour lumineux, une cuisine entièrement équipée, ainsi que plusieurs espaces de vie conçus pour un confort optimal. La maison est mise en location entièrement meublée, avec un mobilier de qualité.
Elle dispose de 3 grandes chambres dont une en suite avec dressing et salle de bains, deux salles de bains, une buanderie.
Le loyer est de 4 800 € par mois + 150€ de charges (jardin)
Nous contacter pour plus de renseignements",À louer   Maison meublée de 136 m² avec piscine vue emr cap d'An,Maison à louer,"['4 pièces', '3 chambres', '136 m²', '672 m² de terrain']",4950.0,seloger,25TV1WFXTCPZ,4.0,136.0,,4 pièces,136 m²,,3.0,3 chambres,672 m² de terrain,672 m² de terrain,,,7.210543156,43.683712006,36.0
